Date,Day,Time (EST),Pred,High/Low
2017/03/17,Fri,02:51,9.36,H
2017/03/17,Fri,09:08,0.39,L
2017/03/17,Fri,15:20,8.73,H
2017/03/17,Fri,21:21,0.98,L
2017/05/02,Tue,04:23,10.47,H
2017/05/02,Tue,10:53,-0.53,L
2017/05/02,Tue,17:14,9.44,H
2017/05/02,Tue,23:14,0.71,L
2017/12/19,Tue,05:24,0.95,L
2017/12/19,Tue,11:33,9.77,H
2017/12/19,Tue,17:58,-0.03,L
2018/03/28,Wed,02:54,0.27,L
2018/03/28,Wed,09:10,10.2,H
2018/03/28,Wed,15:33,-0.58,L
2018/03/28,Wed,21:50,9.71,H
2018/05/07,Mon,02:39,2.02,L
2018/05/07,Mon,08:48,8.75,H
2018/05/07,Mon,15:17,1.2,L
2018/05/07,Mon,21:37,8.08,H
